"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","","307.972222222222","312.366666666667","314.983333333333","316.827777777778","318.666666666667","320.622222222222","322.494444444444","324.361111111111","326.244444444444","328.138888888889","330.211111111111","332.494444444444","334.661111111111","336.25","336.972222222222","336.605555555556","335.366666666667","333.922222222222","333.211111111111","333.866666666667","336.483333333333","340.8","345.577777777778","349.061111111111","350.155555555556","348.022222222222","343.527777777778","339.316666666667","339.066666666667","345.266666666667","359.016666666667","379.083333333333","402.766666666667","426.111111111111","446.255555555556","462.194444444444","474.705555555556","484.866666666667","494.466666666667","504.766666666667","516.077777777778","527.75","538.972222222222","548.566666666667","555.727777777778","560.166666666667","562.322222222222","563.011111111111","563.422222222222","564.427777777778","566.311111111111","568.85","571.783333333333","574.672222222222","577.161111111111","",
"Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST","","14.0381475354594","14.3120607787274","14.5996921238857","14.9015792053426","15.2182060472383","15.5452026468156","15.8818123334252","16.2359311337806","16.6184327420887","17.034428514536","17.4812685721288","17.9470269276721","18.4151487302025","18.864003002175","19.2735869864902","19.6540774438624","19.9989262629048","20.2532656312226","20.3462901694084","20.2362099071776","19.9076723953068","19.4023236222161","18.8081594828907","18.2466531875134","17.8146892136139","17.5212894035475","17.3665594461293","17.4245136782771","17.7807661673253","18.4841619949147","19.5897650338511","21.0544833501823","22.7068146310082","24.3083769874092","25.6908403026683","26.7772569923108","27.623272983488","28.3544404619673","29.1615660325338","30.1778941886469","31.4480286738351","32.9122307998652","34.4750298685783","35.9952363446987","37.3739362190975","38.5742961737585","39.6372024630089","40.6346552093864","41.6740051465858","42.8303265631223","44.1276337959134","45.5331970100787","46.9970590938333","48.4445455380939","49.8216493582085","",
"Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST","","4.30519531563327","4.38429854816716","4.46443250180476","4.54455843426646","4.6242279618192","4.70327103553381","4.78289163391353","4.86572070265501","4.95524424480629","5.05411807170931","5.16374829550012","5.28406753830112","5.41446619074356","5.55366086468276","5.70091762252346","5.85506376834844","6.01694072351007","6.19005293976097","6.37914654688377","6.58694954680356","6.81635517766905","7.06465950108286","7.32225475254672","7.57593486805166","7.8168035614021","8.04018609128098","8.25035052538702","8.45825298788802","8.67970802919708","8.92586027111575","9.20203176385658","9.50426806769872","9.82336247693912","10.1455707066656","10.4617518248175","10.7682786556509","11.0707211037138","11.3802117590439","11.7125074195877","12.0787984278495","12.483188417422","12.9218705382209","13.3884615384615","13.8730247854335","14.3682858747092","14.8724368332398","15.3877492580412","15.915818561001","16.4595355739151","17.0208983717013","17.600301596214","18.1965444774204","18.8082152883613","19.4333231731772","20.0705654929013","",
"Albania","ALB","Population density (people per sq. km of land area)","EN.POP.DNST","","60.5766423357664","62.456897810219","64.3292335766423","66.2093065693431","68.0580656934307","69.8749270072993","71.7371532846715","73.8055474452555","75.9742700729927","77.9371897810219","79.8486496350365","81.8659124087591","83.8230656934307","85.7709489051095","87.7675547445255","89.7272262773723","91.7352554744526","93.6593430656934","95.5413138686131","97.5181386861314","99.491094890511","101.61598540146","103.794160583942","106.001058394161","108.20299270073","110.315145985401","112.540328467153","114.683795620438","117.808138686131","119.946788321168","119.225912408759","118.505072992701","117.784197080292","117.063357664234","116.342481751825","115.621642335766","114.900766423358","114.179927007299","113.459051094891","112.738211678832","111.685145985401","111.350729927007","110.934890510949","110.472226277372","109.908284671533","109.21704379562","108.394781021898","107.566204379562","106.843759124088","106.314635036496","106.013868613139","105.848430656934","105.717226277372","105.607810218978","105.444051094891","",
"Andorra","AND","Population density (people per sq. km of land area)","EN.POP.DNST","","30.5872340425532","32.7148936170213","34.9148936170213","37.1702127659574","39.4702127659574","41.8","44.1595744680851","46.5702127659575","49.0659574468085","51.6574468085106","54.3829787234043","57.2170212765957","60.0659574468085","62.7957446808511","65.331914893617","67.6191489361702","69.7212765957447","71.8","74.0829787234043","76.7297872340425","79.7914893617021","83.2170212765957","86.9404255319149","90.8595744680851","94.8872340425532","98.968085106383","103.102127659574","107.3","111.593617021277","115.98085106383","120.582978723404","125.327659574468","129.793617021277","133.41914893617","135.859574468085","136.789361702128","136.482978723404","135.931914893617","136.512765957447","139.146808510638","144.191489361702","151.16170212766","159.112765957447","166.674468085106","172.814893617021","177.389361702128","180.591489361702","182.16170212766","181.859574468085","179.614893617021","175.16170212766","168.757446808511","161.493617021277","154.863829787234","149.942553191489","",
"Arab World","ARB","Population density (people per sq. km of land area)","EN.POP.DNST","","6.97565625034177","7.16847385329643","7.36789192567163","7.57422160886158","7.7876679816715","8.00920219573781","8.23891864309469","8.47518102388346","8.71568877081974","8.95928437038935","9.20459055032978","9.45347467280425","9.71195591658861","9.98808109899662","10.2874335427849","10.612271617032","10.9601929419948","11.3262891908839","11.7032804117384","12.0856569855338","12.4718573287372","12.862789031496","13.2583449299108","13.659075963864","14.0653180848402","14.4758800119583","14.8898672936587","15.3082986475843","15.7327455662588","16.3091492059852","16.7550406485148","17.067702896012","17.5309268320467","17.9876770504663","18.5516233068221","18.9804529664575","19.4012760999679","19.8151145796932","20.2327639048442","20.6600642057614","21.0970830102824","21.5441597925897","22.0078797219372","22.4953376883035","23.0114707089364","23.5597361282471","24.1369879765069","24.7333832161828","25.3378148563317","25.9300991975643","26.5109810968147","27.0828448682739","27.6493719336418","28.2170539869836","28.7905542545403","",
"United Arab Emirates","ARE","Population density (people per sq. km of land area)","EN.POP.DNST","","1.20795454545455","1.34258373205742","1.4977990430622","1.65334928229665","1.79806220095694","1.92675837320574","2.0547966507177","2.21665071770335","2.45897129186603","2.8161961722488","3.29138755980861","3.87642344497608","4.57922248803828","5.40607655502392","6.35484449760766","7.4408014354067","8.64651913875598","9.89705741626794","11.0921411483254","12.16254784689","13.0754545454545","13.8573803827751","14.5720454545455","15.3143301435407","16.153504784689","17.1118181818182","18.1697488038278","19.3050717703349","20.4798684210526","21.6681578947368","22.88504784689","24.1508851674641","25.4529066985646","26.7736961722488","28.1123444976077","29.5182535885167","31.0433014354067","32.7005980861244","34.4998564593301","36.4847846889952","38.4912081339713","40.5988038277512","43.3707894736842","47.5591507177033","53.6121531100478","61.8571172248804","71.8911483253589","82.5375837320574","92.1701315789474","99.6346052631579","104.482320574163","107.087822966507","108.133708133971","108.685873205742","109.533050239234","",
"Argentina","ARG","Population density (people per sq. km of land area)","EN.POP.DNST","","7.65635822837077","7.77862381197724","7.90072861741739","8.02207264980688","8.14246005210674","8.26134746719577","8.37953915131052","8.49978368028531","8.62574570009756","8.75987488535421","8.90361787414724","9.05581194801019","9.21309611245702","9.37062838684689","9.52500100486354","9.67488206556095","9.82156071750911","9.96742122783362","10.1160635658405","10.2700302189872","10.4298864686903","10.5945463315173","10.7629066500042","10.9332467323665","11.1042101955282","11.27538815138","11.4468474690228","11.6182377251351","11.7892633071338","11.9596081397601","12.1292217971345","12.2977571445798","12.4642951887134","12.6277050012972","12.7872787929945","12.9425265558028","13.0939072383061","13.2428510353749","13.3913793670456","13.5409757773076","13.6922833788262","13.8449890195821","13.9984707803953","14.1516861610193","14.3039551428916","14.4549620161582","14.605199346656","14.7557304627123","14.9080242921193","15.063041484421","15.2211671764065","15.3818021040015","15.5437057174908","15.7051131110941","15.8646960379144","",
"Armenia","ARM","Population density (people per sq. km of land area)","EN.POP.DNST","","67.939550403934","70.3256059009484","72.7231120477696","75.1012644889357","77.4376536705304","79.7146118721461","81.9327010888655","84.1108184053389","86.2792413066386","88.4583069898138","90.6531085353003","92.8508605549701","95.0328064629435","97.1722866174921","99.2500878117316","101.258552862662","103.202704601335","105.091464699684","106.939374780471","108.756515630488","110.498243765367","112.148823322796","113.776325957148","115.475518089217","117.286512118019","119.301404987706","121.427959255357","123.303090972954","124.436951176677","124.506322444679","123.354829645241","121.162521952933","118.358728486126","115.558236740429","113.212961011591","111.465577801194","110.209062170706","109.341693010186","108.669476642079","108.046996838778","107.48282402529","107.03368458026","106.653319283456","106.286687741482","105.898033017211","105.449982437654","104.956691253952","104.496979276431","104.183631893221","104.091886195996","104.249525816649","104.613242009132","105.099824376537","105.590235335441","105.996206533193","",
"American Samoa","ASM","Population density (people per sq. km of land area)","EN.POP.DNST","","102.39","105.59","109.415","113.505","117.59","121.6","125.58","129.43","133.075","136.46","139.58","142.45","145.07","147.455","149.66","151.625","153.45","155.525","158.35","162.28","167.44","173.7","180.825","188.435","196.235","204.175","212.24","220.245","227.955","235.22","241.895","247.985","253.625","259.035","264.37","269.63","274.71","279.495","283.84","287.61","290.88","293.645","295.585","296.31","295.585","293.24","289.52","285.155","281.13","278.18","276.58","276.135","276.51","277.17","277.69","",
